Calpeptin_400uM_in_N214A_24uM_28C_X,Calpeptin_400uM_in_N214A_24uM_28C_Y
0.083333,9.46464
0.1,9.46544
0.116667,9.46532
0.133333,9.46551
0.15,9.46554
0.166667,9.46575
0.183333,9.4662
0.2,9.46669
0.216667,9.46703
0.233333,9.46749
0.25,9.46818
0.266667,9.46884
0.283333,9.46967
0.3,9.46997
0.316667,9.47004
0.333333,9.46963
0.35,9.4694
0.366667,9.46943
0.383333,9.46909
0.4,9.46893
0.416667,9.46869
0.433333,9.46861
0.45,9.4687
0.466667,9.46895
0.483333,9.46911
0.5,9.46896
0.516667,9.46847
0.533333,9.46804
0.55,9.46802
0.566667,9.46823
0.583333,9.46823
0.6,9.46793
0.616667,9.46762
0.633333,9.46749
0.65,9.46734
0.666667,9.46751
0.683333,9.46781
0.7,9.46851
0.716667,9.4691
0.733333,9.4693
0.75,9.46932
0.766667,9.46921
0.783333,9.46906
0.8,9.46899
0.816667,9.46943
0.833333,9.46973
0.85,9.47012
0.866667,9.47125
0.883333,9.47123
0.9,9.47138
0.916667,9.47197
0.933333,9.47119
0.95,9.4702
0.966667,9.47115
0.983333,9.47052
1,9.46678
1.016667,9.46607
1.033333,9.46559
1.05,9.46244
1.066667,9.45851
1.083333,9.45514
1.1,9.45395
1.116667,9.45386
1.133333,9.45307
1.15,9.45308
1.166667,9.45357
1.183333,9.45446
1.2,9.45491
1.216667,9.45474
1.233333,9.45469
1.25,9.45485
1.266667,9.45513
1.283333,9.45569
1.3,9.45623
1.316667,9.45719
1.333333,9.45806
1.35,9.45873
1.366667,9.45935
1.383333,9.45962
1.4,9.45996
1.416667,9.46017
1.433333,9.46032
1.45,9.46049
1.466667,9.46025
1.483333,9.45984
1.5,9.45981
1.516667,9.45995
1.533333,9.45987
1.55,9.45957
1.566667,9.45932
1.583333,9.45921
1.6,9.45923
1.616667,9.45931
1.633333,9.459
1.65,9.45882
1.666667,9.45854
1.683333,9.45846
1.7,9.45856
1.716667,9.45864
1.733333,9.45867
1.75,9.45867
1.766667,9.45884
1.783333,9.45899
1.8,9.45936
1.816667,9.45978
1.833333,9.45985
1.85,9.45978
1.866667,9.45991
1.883333,9.46007
1.9,9.4601
1.916667,9.4601
1.933333,9.46009
1.95,9.4602
1.966667,9.46039
1.983333,9.46035
2,9.46028
2.016667,9.46047
2.033333,9.46064
2.05,9.46072
2.066667,9.46072
2.083333,9.46047
2.1,9.46006
2.116667,9.45972
2.133333,9.45931
2.15,9.45893
2.166667,9.45852
2.183333,9.45795
2.2,9.45778
2.216667,9.45753
2.233333,9.45771
2.25,9.45782
2.266667,9.45778
2.283333,9.45742
2.3,9.4571
2.316667,9.457
2.333333,9.45701
2.35,9.45682
2.366667,9.45669
2.383333,9.45645
2.4,9.45664
2.416667,9.4566
2.433333,9.45678
2.45,9.4573
2.466667,9.45774
2.483333,9.45794
2.5,9.45803
2.516667,9.45831
2.533333,9.45805
2.55,9.45774
2.566667,9.4576
2.583333,9.45771
2.6,9.45802
2.616667,9.45821
2.633333,9.45858
2.65,9.45866
2.666667,9.45873
2.683333,9.45868
2.7,9.45854
2.716667,9.45853
2.733333,9.45863
2.75,9.45865
2.766667,9.45822
2.783333,9.45772
2.8,9.45736
2.816667,9.45722
2.833333,9.45729
2.85,9.45742
2.866667,9.45761
2.883333,9.45781
2.9,9.45795
2.916667,9.45805
2.933333,9.45806
2.95,9.45815
2.966667,9.45823
2.983333,9.45832
3,9.45854
3.016667,9.45862
3.033333,9.4588
3.05,9.45908
3.066667,9.4595
3.083333,9.46001
3.1,9.46039
3.116667,9.46063
3.133333,9.46082
3.15,9.46099
3.166667,9.46106
3.183333,9.46121
3.2,9.46122
3.216667,9.46091
3.233333,9.46033
3.25,9.45995
3.266667,9.45962
3.283333,9.45913
3.3,9.45877
3.316667,9.4585
3.333333,9.45833
3.35,9.45829
3.366667,9.45789
3.383333,9.45707
3.4,9.45662
3.416667,9.45637
3.433333,9.45588
3.45,9.45594
3.466667,9.4567
3.483333,9.45816
3.5,9.46174
3.516667,9.46165
3.533333,9.45404
3.55,9.43936
3.566667,9.41128
3.583333,9.37438
3.6,9.33349
3.616667,9.29634
3.633333,9.26725
3.65,9.2492
3.666667,9.25659
3.683333,9.27828
3.7,9.30182
3.716667,9.32387
3.733333,9.341
3.75,9.35394
3.766667,9.36322
3.783333,9.37053
3.8,9.37661
3.816667,9.38006
3.833333,9.383
3.85,9.38606
3.866667,9.38994
3.883333,9.39367
3.9,9.39673
3.916667,9.39971
3.933333,9.40264
3.95,9.40529
3.966667,9.40817
3.983333,9.4107
4,9.41254
4.016667,9.41448
4.033333,9.41705
4.05,9.41866
4.066667,9.41989
4.083333,9.42171
4.1,9.42359
4.116667,9.42491
4.133333,9.42604
4.15,9.42707
4.166667,9.42799
4.183333,9.429
4.2,9.42999
4.216667,9.43033
4.233333,9.43041
4.25,9.43062
4.266667,9.43108
4.283333,9.43152
4.3,9.4317
4.316667,9.43196
4.333333,9.43246
4.35,9.43292
4.366667,9.43332
4.383333,9.43365
4.4,9.43357
4.416667,9.43302
4.433333,9.43274
4.45,9.43307
4.466667,9.43349
4.483333,9.43365
4.5,9.43395
4.516667,9.43423
4.533333,9.43438
4.55,9.43435
4.566667,9.43435
4.583333,9.43426
4.6,9.43384
4.616667,9.4342
4.633333,9.43413
4.65,9.43405
4.666667,9.43389
4.683333,9.43406
4.7,9.43475
4.716667,9.43457
4.733333,9.43391
4.75,9.4339
4.766667,9.43415
4.783333,9.43414
4.8,9.43418
4.816667,9.43433
4.833333,9.43444
4.85,9.4346
4.866667,9.43534
4.883333,9.43589
4.9,9.43618
4.916667,9.4364
4.933333,9.43681
4.95,9.43727
4.966667,9.43768
4.983333,9.43828
5,9.43918
5.016667,9.44
5.033333,9.44057
5.05,9.44113
5.066667,9.44177
5.083333,9.44255
5.1,9.44319
5.116667,9.44386
5.133333,9.44435
5.15,9.4445
5.166667,9.4445
5.183333,9.44464
5.2,9.44482
5.216667,9.44511
5.233333,9.4455
5.25,9.44596
5.266667,9.44631
5.283333,9.44658
5.3,9.44699
5.316667,9.44734
5.333333,9.44733
5.35,9.44716
5.366667,9.44713
5.383333,9.44718
5.4,9.4471
5.416667,9.44711
5.433333,9.44707
5.45,9.44706
5.466667,9.44725
5.483333,9.44718
5.5,9.44707
5.516667,9.44738
5.533333,9.44745
5.55,9.44744
5.566667,9.4475
5.583333,9.44753
5.6,9.44752
5.616667,9.44775
5.633333,9.44783
5.65,9.44749
5.666667,9.44736
5.683333,9.44747
5.7,9.4475
5.716667,9.44755
5.733333,9.44768
5.75,9.44779
5.766667,9.44798
5.783333,9.44824
5.8,9.44843
5.816667,9.44872
5.833333,9.44892
5.85,9.44903
5.866667,9.44921
5.883333,9.44913
5.9,9.44889
5.916667,9.4489
5.933333,9.44932
5.95,9.44934
5.966667,9.44879
5.983333,9.44842
6,9.44872
6.016667,9.44949
6.033333,9.44915
6.05,9.44076
6.066667,9.41972
6.083333,9.38628
6.1,9.34247
6.116667,9.29946
6.133333,9.26696
6.15,9.25433
6.166667,9.26117
6.183333,9.27768
6.2,9.29576
6.216667,9.31006
6.233333,9.33165
6.25,9.3399
6.266667,9.34727
6.283333,9.35758
6.3,9.36858
6.316667,9.37482
6.333333,9.37952
6.35,9.38391
6.366667,9.38787
6.383333,9.39112
6.4,9.39371
6.416667,9.39641
6.433333,9.39959
6.45,9.40245
6.466667,9.40525
6.483333,9.40771
6.5,9.40999
6.516667,9.41196
6.533333,9.41372
6.55,9.41525
6.566667,9.41653
6.583333,9.41792
6.6,9.41907
6.616667,9.42008
6.633333,9.42105
6.65,9.42213
6.666667,9.42314
6.683333,9.42413
6.7,9.42501
6.716667,9.4258
6.733333,9.42627
6.75,9.42656
6.766667,9.4268
6.783333,9.42723
6.8,9.42772
6.816667,9.42811
6.833333,9.4286
6.85,9.42905
6.866667,9.42932
6.883333,9.42979
6.9,9.43022
6.916667,9.43072
6.933333,9.43145
6.95,9.43212
6.966667,9.43259
6.983333,9.43292
7,9.43343
7.016667,9.43395
7.033333,9.43452
7.05,9.43518
7.066667,9.43598
7.083333,9.43677
7.1,9.43753
7.116667,9.43779
7.133333,9.43811
7.15,9.43852
7.166667,9.43892
7.183333,9.43938
7.2,9.43994
7.216667,9.44009
7.233333,9.44022
7.25,9.44039
7.266667,9.44034
7.283333,9.44036
7.3,9.44053
7.316667,9.44064
7.333333,9.44071
7.35,9.44049
7.366667,9.44005
7.383333,9.43984
7.4,9.43977
7.416667,9.43991
7.433333,9.44012
7.45,9.44032
7.466667,9.44035
7.483333,9.44059
7.5,9.44073
7.516667,9.44107
7.533333,9.4412
7.55,9.44153
7.566667,9.44197
7.583333,9.44244
7.6,9.44295
7.616667,9.44337
7.633333,9.44386
7.65,9.44458
7.666667,9.44524
7.683333,9.44583
7.7,9.44646
7.716667,9.4469
7.733333,9.4472
7.75,9.4475
7.766667,9.44777
7.783333,9.44802
7.8,9.4483
7.816667,9.44835
7.833333,9.44817
7.85,9.44826
7.866667,9.44868
7.883333,9.44922
7.9,9.4495
7.916667,9.44969
7.933333,9.44991
7.95,9.45012
7.966667,9.45018
7.983333,9.4504
8,9.45051
8.016667,9.45047
8.033333,9.45025
8.05,9.45026
8.066667,9.45036
8.083333,9.45042
8.1,9.45044
8.116667,9.45055
8.133333,9.45079
8.15,9.45105
8.166667,9.45122
8.183333,9.45129
8.2,9.45108
8.216667,9.4509
8.233333,9.45089
8.25,9.45086
8.266667,9.45088
8.283333,9.45091
8.3,9.45101
8.316667,9.45114
8.333333,9.45128
8.35,9.4514
8.366667,9.45117
8.383333,9.45105
8.4,9.45103
8.416667,9.45098
8.433333,9.4514
8.45,9.45192
8.466667,9.45148
8.483333,9.4508
8.5,9.44821
8.516667,9.44385
8.533333,9.44598
8.55,9.44907
8.566667,9.43654
8.583333,9.40537
8.6,9.36669
8.616667,9.32618
8.633333,9.29694
8.65,9.28103
8.666667,9.27883
8.683333,9.29234
8.7,9.31953
8.716667,9.34716
8.733333,9.36251
8.75,9.36675
8.766667,9.37424
8.783333,9.38474
8.8,9.39526
8.816667,9.40124
8.833333,9.40421
8.85,9.40676
8.866667,9.40888
8.883333,9.41079
8.9,9.41299
8.916667,9.41586
8.933333,9.41828
8.95,9.4204
8.966667,9.42226
8.983333,9.42413
9,9.42612
9.016667,9.4272
9.033333,9.42725
9.05,9.42801
9.066667,9.42932
9.083333,9.43071
9.1,9.43225
9.116667,9.43389
9.133333,9.43537
9.15,9.43672
9.166667,9.43776
9.183333,9.43799
9.2,9.43878
9.216667,9.43958
9.233333,9.44002
9.25,9.44026
9.266667,9.44074
9.283333,9.4411
9.3,9.44184
9.316667,9.44257
9.333333,9.44315
9.35,9.44359
9.366667,9.44394
9.383333,9.44412
9.4,9.44437
9.416667,9.44449
9.433333,9.44435
9.45,9.44414
9.466667,9.44391
9.483333,9.44368
9.5,9.44357
9.516667,9.44356
9.533333,9.44355
9.55,9.44355
9.566667,9.44372
9.583333,9.44419
9.6,9.44474
9.616667,9.44516
9.633333,9.44551
9.65,9.44569
9.666667,9.44593
9.683333,9.44623
9.7,9.4464
9.716667,9.44665
9.733333,9.44684
9.75,9.44692
9.766667,9.44693
9.783333,9.447
9.8,9.44723
9.816667,9.44741
9.833333,9.4478
9.85,9.44839
9.866667,9.44883
9.883333,9.44921
9.9,9.44944
9.916667,9.44938
9.933333,9.44946
9.95,9.44979
9.966667,9.45032
9.983333,9.4511
10,9.45208
10.016667,9.45271
10.033333,9.45276
10.05,9.45289
10.066667,9.45319
10.083333,9.45397
10.1,9.4549
10.116667,9.45527
10.133333,9.45501
10.15,9.45503
10.166667,9.45495
10.183333,9.45561
10.2,9.45671
10.216667,9.45689
10.233333,9.45749
10.25,9.45821
10.266667,9.4586
10.283333,9.45804
10.3,9.45849
10.316667,9.45923
10.333333,9.45946
10.35,9.46018
10.366667,9.46021
10.383333,9.46007
10.4,9.45997
10.416667,9.45983
10.433333,9.45987
10.45,9.45987
10.466667,9.4597
10.483333,9.45941
10.5,9.45923
10.516667,9.45952
10.533333,9.46005
10.55,9.46038
10.566667,9.46012
10.583333,9.4597
10.6,9.45927
10.616667,9.45899
10.633333,9.45877
10.65,9.45875
10.666667,9.45841
10.683333,9.45833
10.7,9.45833
10.716667,9.45816
10.733333,9.4585
10.75,9.45909
10.766667,9.45955
10.783333,9.45973
10.8,9.45975
10.816667,9.45953
10.833333,9.45919
10.85,9.45857
10.866667,9.45794
10.883333,9.45787
10.9,9.45848
10.916667,9.45922
10.933333,9.45982
10.95,9.45925
10.966667,9.45789
10.983333,9.45623
11,9.45632
11.016667,9.4554
11.033333,9.45023
11.05,9.44585
11.066667,9.43639
11.083333,9.413
11.1,9.38275
11.116667,9.3494
11.133333,9.32406
11.15,9.31058
11.166667,9.31395
11.183333,9.32683
11.2,9.34675
11.216667,9.3624
11.233333,9.37135
11.25,9.37984
11.266667,9.38836
11.283333,9.39715
11.3,9.40469
11.316667,9.40921
11.333333,9.41243
11.35,9.41512
11.366667,9.41781
11.383333,9.42078
11.4,9.42346
11.416667,9.4261
11.433333,9.42907
11.45,9.43161
11.466667,9.43403
11.483333,9.43576
11.5,9.43756
11.516667,9.43939
11.533333,9.44099
11.55,9.44241
11.566667,9.44399
11.583333,9.44526
11.6,9.44629
11.616667,9.44715
11.633333,9.44817
11.65,9.4488
11.666667,9.44917
11.683333,9.44999
11.7,9.45085
11.716667,9.45165
11.733333,9.45231
11.75,9.45274
11.766667,9.45291
11.783333,9.45337
11.8,9.45327
11.816667,9.45299
11.833333,9.45295
11.85,9.45323
11.866667,9.4535
11.883333,9.4534
11.9,9.45345
11.916667,9.45384
11.933333,9.45449
11.95,9.45478
11.966667,9.45501
11.983333,9.45543
12,9.45523
12.016667,9.45521
12.033333,9.45518
12.05,9.455
12.066667,9.45478
12.083333,9.45479
12.1,9.45512
12.116667,9.45565
12.133333,9.45597
12.15,9.45608
12.166667,9.45605
12.183333,9.45615
12.2,9.4565
12.216667,9.45692
12.233333,9.45722
12.25,9.45775
12.266667,9.45814
12.283333,9.45847
12.3,9.45877
12.316667,9.45902
12.333333,9.45919
12.35,9.45948
12.366667,9.45966
12.383333,9.45994
12.4,9.46034
12.416667,9.4608
12.433333,9.46107
12.45,9.46125
12.466667,9.46154
12.483333,9.46171
12.5,9.46203
12.516667,9.46221
12.533333,9.46236
12.55,9.4627
12.566667,9.46286
12.583333,9.46283
12.6,9.46289
12.616667,9.46295
12.633333,9.46302
12.65,9.46303
12.666667,9.4633
12.683333,9.46347
12.7,9.46348
12.716667,9.4635
12.733333,9.46358
12.75,9.46358
12.766667,9.46351
12.783333,9.4633
12.8,9.46309
12.816667,9.4631
12.833333,9.46299
12.85,9.46296
12.866667,9.46277
12.883333,9.46235
12.9,9.46198
12.916667,9.46171
12.933333,9.46147
12.95,9.46126
12.966667,9.46109
12.983333,9.4608
13,9.46042
13.016667,9.46032
13.033333,9.46067
13.05,9.46116
13.066667,9.46144
13.083333,9.4615
13.1,9.4615
13.116667,9.46164
13.133333,9.46176
13.15,9.46196
13.166667,9.46231
13.183333,9.46266
13.2,9.46199
13.216667,9.46189
13.233333,9.46277
13.25,9.46334
13.266667,9.46402
13.283333,9.4647
13.3,9.46557
13.316667,9.46595
13.333333,9.46533
13.35,9.4654
13.366667,9.46525
13.383333,9.46503
13.4,9.46555
13.416667,9.46703
13.433333,9.46806
13.45,9.4675
13.466667,9.46674
13.483333,9.4653
13.5,9.46377
13.516667,9.46313
13.533333,9.46179
13.55,9.45872
13.566667,9.44513
13.583333,9.42166
13.6,9.39364
13.616667,9.36388
13.633333,9.34195
13.65,9.33579
13.666667,9.34252
13.683333,9.3584
13.7,9.38338
13.716667,9.40571
13.733333,9.41904
13.75,9.42287
13.766667,9.42458
13.783333,9.42585
13.8,9.42692
13.816667,9.42726
13.833333,9.42732
13.85,9.42823
13.866667,9.42977
13.883333,9.43135
13.9,9.43277
13.916667,9.43442
13.933333,9.43656
13.95,9.43857
13.966667,9.44038
13.983333,9.44228
14,9.44374
14.016667,9.44535
14.033333,9.44779
14.05,9.45049
14.066667,9.45112
14.083333,9.45133
14.1,9.45143
14.116667,9.4516
14.133333,9.453
14.15,9.45441
14.166667,9.45591
14.183333,9.45721
14.2,9.45825
14.216667,9.45845
14.233333,9.45802
14.25,9.45789
14.266667,9.4587
14.283333,9.45993
14.3,9.46097
14.316667,9.45976
14.333333,9.45805
14.35,9.45762
14.366667,9.45868
14.383333,9.45986
14.4,9.46103
14.416667,9.46098
14.433333,9.45942
14.45,9.45787
14.466667,9.45841
14.483333,9.45986
14.5,9.46076
14.516667,9.46081
14.533333,9.46067
14.55,9.46069
14.566667,9.46066
14.583333,9.46101
14.6,9.46177
14.616667,9.46278
14.633333,9.46358
14.65,9.46375
14.666667,9.46366
14.683333,9.46387
14.7,9.46429
14.716667,9.46455
14.733333,9.4648
14.75,9.46487
14.766667,9.46507
14.783333,9.46557
14.8,9.46603
14.816667,9.46659
14.833333,9.46711
14.85,9.46761
14.866667,9.46796
14.883333,9.46857
14.9,9.46907
14.916667,9.46967
14.933333,9.47029
14.95,9.47052
14.966667,9.47046
14.983333,9.47046
15,9.47043
15.016667,9.47
15.033333,9.46963
15.05,9.46956
15.066667,9.46925
15.083333,9.46924
15.1,9.46917
15.116667,9.46881
15.133333,9.46869
15.15,9.46848
15.166667,9.46822
15.183333,9.46792
15.2,9.46743
15.216667,9.46672
15.233333,9.46614
15.25,9.46518
15.266667,9.46493
15.283333,9.46466
15.3,9.46453
15.316667,9.46478
15.333333,9.46501
15.35,9.46518
15.366667,9.465
15.383333,9.46578
15.4,9.46684
15.416667,9.46752
15.433333,9.46791
15.45,9.46813
15.466667,9.46839
15.483333,9.46875
15.5,9.46908
15.516667,9.4698
15.533333,9.47123
15.55,9.47157
15.566667,9.4711
15.583333,9.47066
15.6,9.47051
15.616667,9.47053
15.633333,9.47072
15.65,9.47096
15.666667,9.47134
15.683333,9.47172
15.7,9.47163
15.716667,9.47144
15.733333,9.4711
15.75,9.47085
15.766667,9.47063
15.783333,9.47036
15.8,9.47012
15.816667,9.4704
15.833333,9.47117
15.85,9.47132
15.866667,9.47161
15.883333,9.47234
15.9,9.47353
15.916667,9.47398
15.933333,9.47313
15.95,9.47252
15.966667,9.4734
15.983333,9.47454
16,9.47265
16.016667,9.47391
16.033333,9.47617
16.05,9.47369
16.066667,9.46047
16.083333,9.43679
16.1,9.41174
16.116667,9.38926
16.133333,9.37596
16.15,9.37694
16.166667,9.38114
16.183333,9.38787
16.2,9.40447
16.216667,9.42599
16.233333,9.43453
16.25,9.43995
16.266667,9.44351
16.283333,9.44458
16.3,9.44515
16.316667,9.4454
16.333333,9.44598
16.35,9.44703
16.366667,9.44835
16.383333,9.44993
16.4,9.45136
16.416667,9.45275
16.433333,9.45444
16.45,9.45584
16.466667,9.45667
16.483333,9.4578
16.5,9.45886
16.516667,9.45997
16.533333,9.46117
16.55,9.46249
