Calpeptin_400uM_in_Q256A_24uM_28C_2_X,Calpeptin_400uM_in_Q256A_24uM_28C_2_Y
0.083333,9.81269
0.1,9.81432
0.116667,9.81485
0.133333,9.81534
0.15,9.81554
0.166667,9.81603
0.183333,9.81651
0.2,9.81712
0.216667,9.81931
0.233333,9.82093
0.25,9.82192
0.266667,9.82269
0.283333,9.82334
0.3,9.82384
0.316667,9.82426
0.333333,9.8247
0.35,9.82509
0.366667,9.82516
0.383333,9.82481
0.4,9.82397
0.416667,9.823
0.433333,9.82181
0.45,9.82046
0.466667,9.81912
0.483333,9.8175
0.5,9.81587
0.516667,9.81464
0.533333,9.81373
0.55,9.8127
0.566667,9.81123
0.583333,9.80952
0.6,9.80821
0.616667,9.80689
0.633333,9.80595
0.65,9.80532
0.666667,9.80499
0.683333,9.80496
0.7,9.80505
0.716667,9.80468
0.733333,9.80419
0.75,9.80398
0.766667,9.80424
0.783333,9.80474
0.8,9.80548
0.816667,9.80652
0.833333,9.80763
0.85,9.80827
0.866667,9.80818
0.883333,9.80917
0.9,9.81079
0.916667,9.81185
0.933333,9.81226
0.95,9.81346
0.966667,9.81644
0.983333,9.82152
1,9.82677
1.016667,9.82859
1.033333,9.82311
1.05,9.81597
1.066667,9.81067
1.083333,9.80735
1.1,9.80533
1.116667,9.80426
1.133333,9.8047
1.15,9.80589
1.166667,9.80648
1.183333,9.80606
1.2,9.80559
1.216667,9.80576
1.233333,9.80617
1.25,9.80684
1.266667,9.80721
1.283333,9.8072
1.3,9.80718
1.316667,9.80728
1.333333,9.80743
1.35,9.80786
1.366667,9.80805
1.383333,9.80884
1.4,9.8088
1.416667,9.80795
1.433333,9.80826
1.45,9.80987
1.466667,9.81182
1.483333,9.81204
1.5,9.81112
1.516667,9.80992
1.533333,9.80848
1.55,9.80637
1.566667,9.80589
1.583333,9.80739
1.6,9.80899
1.616667,9.81048
1.633333,9.80916
1.65,9.80462
1.666667,9.80259
1.683333,9.80407
1.7,9.80614
1.716667,9.80564
1.733333,9.80436
1.75,9.80263
1.766667,9.80285
1.783333,9.8035
1.8,9.80369
1.816667,9.8062
1.833333,9.80756
1.85,9.80735
1.866667,9.80721
1.883333,9.80772
1.9,9.80837
1.916667,9.80782
1.933333,9.80684
1.95,9.80549
1.966667,9.80418
1.983333,9.80397
2,9.80388
2.016667,9.80273
2.033333,9.80202
2.05,9.80137
2.066667,9.80047
2.083333,9.79935
2.1,9.79815
2.116667,9.79682
2.133333,9.79566
2.15,9.7946
2.166667,9.7941
2.183333,9.79386
2.2,9.79383
2.216667,9.79389
2.233333,9.79381
2.25,9.79388
2.266667,9.79414
2.283333,9.7946
2.3,9.79498
2.316667,9.79532
2.333333,9.79585
2.35,9.79631
2.366667,9.79673
2.383333,9.79707
2.4,9.79741
2.416667,9.79774
2.433333,9.79781
2.45,9.79821
2.466667,9.79866
2.483333,9.79919
2.5,9.7997
2.516667,9.80017
2.533333,9.80077
2.55,9.80131
2.566667,9.80177
2.583333,9.80227
2.6,9.80286
2.616667,9.80361
2.633333,9.8045
2.65,9.80542
2.666667,9.80662
2.683333,9.80863
2.7,9.81025
2.716667,9.81063
2.733333,9.81102
2.75,9.8118
2.766667,9.813
2.783333,9.81406
2.8,9.81524
2.816667,9.81663
2.833333,9.81823
2.85,9.81958
2.866667,9.82035
2.883333,9.82114
2.9,9.82155
2.916667,9.82098
2.933333,9.8199
2.95,9.81848
2.966667,9.81688
2.983333,9.816
3,9.81505
3.016667,9.8133
3.033333,9.81174
3.05,9.81144
3.066667,9.811
3.083333,9.81009
3.1,9.80882
3.116667,9.80727
3.133333,9.80568
3.15,9.80394
3.166667,9.8023
3.183333,9.8008
3.2,9.79956
3.216667,9.7986
3.233333,9.79812
3.25,9.79853
3.266667,9.79942
3.283333,9.80049
3.3,9.80136
3.316667,9.80206
3.333333,9.80208
3.35,9.80197
3.366667,9.80276
3.383333,9.80396
3.4,9.80547
3.416667,9.80723
3.433333,9.81081
3.45,9.81554
3.466667,9.81747
3.483333,9.81494
3.5,9.81077
3.516667,9.80806
3.533333,9.80369
3.55,9.79101
3.566667,9.76177
3.583333,9.72418
3.6,9.68487
3.616667,9.66048
3.633333,9.64875
3.65,9.64361
3.666667,9.64232
3.683333,9.64409
3.7,9.64794
3.716667,9.65377
3.733333,9.66156
3.75,9.6696
3.766667,9.67729
3.783333,9.68524
3.8,9.69163
3.816667,9.69674
3.833333,9.70048
3.85,9.70304
3.866667,9.7057
3.883333,9.70923
3.9,9.71283
3.916667,9.71533
3.933333,9.7174
3.95,9.71943
3.966667,9.72119
3.983333,9.72263
4,9.72366
4.016667,9.72521
4.033333,9.7269
4.05,9.7287
4.066667,9.7306
4.083333,9.73258
4.1,9.73484
4.116667,9.73727
4.133333,9.74011
4.15,9.74308
4.166667,9.74591
4.183333,9.74853
4.2,9.75049
4.216667,9.75193
4.233333,9.75307
4.25,9.75446
4.266667,9.75503
4.283333,9.7565
4.3,9.75824
4.316667,9.75994
4.333333,9.76183
4.35,9.76355
4.366667,9.76509
4.383333,9.76668
4.4,9.76771
4.416667,9.76819
4.433333,9.76863
4.45,9.76922
4.466667,9.76928
4.483333,9.76902
4.5,9.76883
4.516667,9.76925
4.533333,9.77014
4.55,9.77149
4.566667,9.77289
4.583333,9.77346
4.6,9.77324
4.616667,9.77268
4.633333,9.77212
4.65,9.77155
4.666667,9.77101
4.683333,9.77071
4.7,9.76994
4.716667,9.7696
4.733333,9.76917
4.75,9.76879
4.766667,9.76937
4.783333,9.76998
4.8,9.77152
4.816667,9.77322
4.833333,9.77456
4.85,9.77521
4.866667,9.77593
4.883333,9.77599
4.9,9.77702
4.916667,9.77904
4.933333,9.78028
4.95,9.78041
4.966667,9.78032
4.983333,9.78055
5,9.7806
5.016667,9.78076
5.033333,9.78062
5.05,9.78019
5.066667,9.77963
5.083333,9.77872
5.1,9.77729
5.116667,9.77556
5.133333,9.77365
5.15,9.77168
5.166667,9.76986
5.183333,9.76804
5.2,9.76611
5.216667,9.76476
5.233333,9.76389
5.25,9.76307
5.266667,9.7621
5.283333,9.76163
5.3,9.7615
5.316667,9.76176
5.333333,9.76212
5.35,9.76254
5.366667,9.76351
5.383333,9.76488
5.4,9.76645
5.416667,9.76835
5.433333,9.77091
5.45,9.77313
5.466667,9.77505
5.483333,9.77696
5.5,9.77869
5.516667,9.78062
5.533333,9.78252
5.55,9.78466
5.566667,9.78655
5.583333,9.7879
5.6,9.78911
5.616667,9.79019
5.633333,9.79114
5.65,9.79203
5.666667,9.79303
5.683333,9.79402
5.7,9.79479
5.716667,9.79518
5.733333,9.7952
5.75,9.79471
5.766667,9.79378
5.783333,9.79291
5.8,9.79232
5.816667,9.79162
5.833333,9.79078
5.85,9.79014
5.866667,9.78927
5.883333,9.78803
5.9,9.78709
5.916667,9.78654
5.933333,9.78571
5.95,9.78471
5.966667,9.78392
5.983333,9.78455
6,9.78577
6.016667,9.79169
6.033333,9.78311
6.05,9.75206
6.066667,9.71593
6.083333,9.67601
6.1,9.64145
6.116667,9.62516
6.133333,9.62168
6.15,9.62499
6.166667,9.62842
6.183333,9.63254
6.2,9.63681
6.216667,9.63999
6.233333,9.64355
6.25,9.64814
6.266667,9.6526
6.283333,9.6583
6.3,9.66482
6.316667,9.67137
6.333333,9.6776
6.35,9.68379
6.366667,9.68926
6.383333,9.69406
6.4,9.69876
6.416667,9.70339
6.433333,9.70797
6.45,9.71323
6.466667,9.71878
6.483333,9.72413
6.5,9.72928
6.516667,9.73419
6.533333,9.73878
6.55,9.74289
6.566667,9.74641
6.583333,9.74972
6.6,9.75281
6.616667,9.75432
6.633333,9.75567
6.65,9.75697
6.666667,9.7586
6.683333,9.76021
6.7,9.76208
6.716667,9.76302
6.733333,9.7638
6.75,9.76424
6.766667,9.76408
6.783333,9.76342
6.8,9.76254
6.816667,9.76166
6.833333,9.76066
6.85,9.75962
6.866667,9.75918
6.883333,9.75955
6.9,9.76014
6.916667,9.7606
6.933333,9.76106
6.95,9.76134
6.966667,9.76151
6.983333,9.76182
7,9.76198
7.016667,9.76258
7.033333,9.76342
7.05,9.76369
7.066667,9.76422
7.083333,9.76486
7.1,9.76533
7.116667,9.76575
7.133333,9.7661
7.15,9.76634
7.166667,9.76638
7.183333,9.76633
7.2,9.76606
7.216667,9.76515
7.233333,9.7643
7.25,9.76378
7.266667,9.76333
7.283333,9.76295
7.3,9.76259
7.316667,9.76245
7.333333,9.76303
7.35,9.76416
7.366667,9.76561
7.383333,9.76716
7.4,9.76861
7.416667,9.77016
7.433333,9.77153
7.45,9.77322
7.466667,9.77521
7.483333,9.77746
7.5,9.77834
7.516667,9.77773
7.533333,9.77684
7.55,9.77722
7.566667,9.7783
7.583333,9.77923
7.6,9.78024
7.616667,9.78083
7.633333,9.78109
7.65,9.78083
7.666667,9.7801
7.683333,9.77938
7.7,9.77852
7.716667,9.77781
7.733333,9.77709
7.75,9.7762
7.766667,9.77531
7.783333,9.77478
7.8,9.77456
7.816667,9.77451
7.833333,9.77455
7.85,9.77462
7.866667,9.77446
7.883333,9.77403
7.9,9.77348
7.916667,9.77315
7.933333,9.77327
7.95,9.77322
7.966667,9.77273
7.983333,9.77211
8,9.77116
8.016667,9.77007
8.033333,9.76894
8.05,9.76784
8.066667,9.76698
8.083333,9.76658
8.1,9.76581
8.116667,9.76504
8.133333,9.76564
8.15,9.76942
8.166667,9.77279
8.183333,9.77355
8.2,9.77239
8.216667,9.77344
8.233333,9.77624
8.25,9.77747
8.266667,9.77588
8.283333,9.7744
8.3,9.77441
8.316667,9.77634
8.333333,9.77914
8.35,9.78054
8.366667,9.78017
8.383333,9.78002
8.4,9.77788
8.416667,9.77569
8.433333,9.77367
8.45,9.77466
8.466667,9.77871
8.483333,9.78218
8.5,9.78176
8.516667,9.78243
8.533333,9.7795
8.55,9.77142
8.566667,9.75293
8.583333,9.71615
8.6,9.67616
8.616667,9.65491
8.633333,9.64218
8.65,9.63492
8.666667,9.63372
8.683333,9.63539
8.7,9.63727
8.716667,9.64085
8.733333,9.64602
8.75,9.65291
8.766667,9.66011
8.783333,9.66756
8.8,9.67477
8.816667,9.68154
8.833333,9.68691
8.85,9.69263
8.866667,9.69917
8.883333,9.70573
8.9,9.71225
8.916667,9.71873
8.933333,9.72548
8.95,9.73152
8.966667,9.73664
8.983333,9.74168
9,9.74582
9.016667,9.74831
9.033333,9.75
9.05,9.751
9.066667,9.75183
9.083333,9.75312
9.1,9.75452
9.116667,9.75588
9.133333,9.75706
9.15,9.75755
9.166667,9.75752
9.183333,9.75739
9.2,9.75715
9.216667,9.75673
9.233333,9.75599
9.25,9.75493
9.266667,9.75393
9.283333,9.75285
9.3,9.75189
9.316667,9.75191
9.333333,9.75287
9.35,9.75418
9.366667,9.75575
9.383333,9.7576
9.4,9.75951
9.416667,9.76116
9.433333,9.76303
9.45,9.76537
9.466667,9.76767
9.483333,9.77006
9.5,9.77182
9.516667,9.77134
9.533333,9.77026
9.55,9.76898
9.566667,9.76794
9.583333,9.76842
9.6,9.77014
9.616667,9.77006
9.633333,9.76828
9.65,9.76795
9.666667,9.76746
9.683333,9.76635
9.7,9.76494
9.716667,9.7635
9.733333,9.76235
9.75,9.76149
9.766667,9.76075
9.783333,9.75984
9.8,9.75958
9.816667,9.75998
9.833333,9.76052
9.85,9.76086
9.866667,9.76135
9.883333,9.76216
9.9,9.76326
9.916667,9.76447
9.933333,9.7656
9.95,9.76678
9.966667,9.7678
9.983333,9.76825
10,9.76854
10.016667,9.76912
10.033333,9.76998
10.05,9.77073
10.066667,9.77137
10.083333,9.77175
10.1,9.77233
10.116667,9.77331
10.133333,9.77453
10.15,9.77566
10.166667,9.77666
10.183333,9.77768
10.2,9.77846
10.216667,9.77893
10.233333,9.77902
10.25,9.77889
10.266667,9.7789
10.283333,9.77896
10.3,9.77897
10.316667,9.77888
10.333333,9.77864
10.35,9.77838
10.366667,9.7782
10.383333,9.7783
10.4,9.7783
10.416667,9.77833
10.433333,9.77856
10.45,9.77915
10.466667,9.77985
10.483333,9.78004
10.5,9.77986
10.516667,9.77969
10.533333,9.7799
10.55,9.78027
10.566667,9.78084
10.583333,9.78161
10.6,9.78281
10.616667,9.78299
10.633333,9.78284
10.65,9.78333
10.666667,9.78343
10.683333,9.7839
10.7,9.78461
10.716667,9.7853
10.733333,9.78579
10.75,9.78608
10.766667,9.78603
10.783333,9.78543
10.8,9.78486
10.816667,9.78503
10.833333,9.78578
10.85,9.78649
10.866667,9.78654
10.883333,9.78674
10.9,9.78752
10.916667,9.78847
10.933333,9.78949
10.95,9.79014
10.966667,9.79123
10.983333,9.79481
11,9.79776
11.016667,9.79609
11.033333,9.79345
11.05,9.78424
11.066667,9.7699
11.083333,9.74768
11.1,9.72751
11.116667,9.70832
11.133333,9.69517
11.15,9.68257
11.166667,9.673
11.183333,9.66674
11.2,9.66033
11.216667,9.65609
11.233333,9.65539
11.25,9.65912
11.266667,9.66524
11.283333,9.67248
11.3,9.68121
11.316667,9.68894
11.333333,9.69592
11.35,9.70408
11.366667,9.71231
11.383333,9.71766
11.4,9.72274
11.416667,9.7273
11.433333,9.73131
11.45,9.73533
11.466667,9.73859
11.483333,9.74106
11.5,9.74313
11.516667,9.74562
11.533333,9.74782
11.55,9.74961
11.566667,9.75097
11.583333,9.75253
11.6,9.75367
11.616667,9.7549
11.633333,9.75603
11.65,9.75696
11.666667,9.75744
11.683333,9.75768
11.7,9.75776
11.716667,9.75765
11.733333,9.75745
11.75,9.75734
11.766667,9.75758
11.783333,9.75818
11.8,9.75878
11.816667,9.75939
11.833333,9.75987
11.85,9.76023
11.866667,9.76068
11.883333,9.7611
11.9,9.76143
11.916667,9.76173
11.933333,9.76221
11.95,9.76316
11.966667,9.76458
11.983333,9.76629
12,9.76818
12.016667,9.77026
12.033333,9.77245
12.05,9.7747
12.066667,9.77692
12.083333,9.77919
12.1,9.78188
12.116667,9.7843
12.133333,9.78511
12.15,9.78459
12.166667,9.78452
12.183333,9.78497
12.2,9.78513
12.216667,9.78486
12.233333,9.78502
12.25,9.78622
12.266667,9.78589
12.283333,9.78529
12.3,9.78445
12.316667,9.78328
12.333333,9.78205
12.35,9.78058
12.366667,9.77885
12.383333,9.77715
12.4,9.77513
12.416667,9.77413
12.433333,9.77304
12.45,9.77252
12.466667,9.7723
12.483333,9.77228
12.5,9.77246
12.516667,9.77283
12.533333,9.77396
12.55,9.77563
12.566667,9.77715
12.583333,9.77812
12.6,9.77881
12.616667,9.77964
12.633333,9.78056
12.65,9.78131
12.666667,9.782
12.683333,9.7832
12.7,9.78383
12.716667,9.78379
12.733333,9.78404
12.75,9.78445
12.766667,9.7849
12.783333,9.78517
12.8,9.78508
12.816667,9.78506
12.833333,9.78513
12.85,9.78504
12.866667,9.78439
12.883333,9.78334
12.9,9.7822
12.916667,9.78092
12.933333,9.77943
12.95,9.77787
12.966667,9.77634
12.983333,9.77527
13,9.7745
13.016667,9.77386
13.033333,9.77349
13.05,9.77316
13.066667,9.77283
13.083333,9.77261
13.1,9.77261
13.116667,9.77324
13.133333,9.77424
13.15,9.77534
13.166667,9.7763
13.183333,9.77723
13.2,9.77793
13.216667,9.77857
13.233333,9.77919
13.25,9.78048
13.266667,9.78194
13.283333,9.78204
13.3,9.78254
13.316667,9.78298
13.333333,9.78325
13.35,9.7834
13.366667,9.78407
13.383333,9.78532
13.4,9.7855
13.416667,9.78421
13.433333,9.78199
13.45,9.78013
13.466667,9.77852
13.483333,9.77706
13.5,9.77662
13.516667,9.77546
13.533333,9.77486
13.55,9.76599
13.566667,9.75383
13.583333,9.74344
13.6,9.7359
13.616667,9.72967
13.633333,9.72319
13.65,9.71745
13.666667,9.71365
13.683333,9.71141
13.7,9.70689
13.716667,9.7059
13.733333,9.70477
13.75,9.70243
13.766667,9.70127
13.783333,9.70336
13.8,9.71049
13.816667,9.72267
13.833333,9.73068
13.85,9.73598
13.866667,9.7396
13.883333,9.74122
13.9,9.74169
13.916667,9.7421
13.933333,9.74289
13.95,9.74453
13.966667,9.74768
13.983333,9.75053
14,9.75266
14.016667,9.75402
14.033333,9.75513
14.05,9.75662
14.066667,9.75851
14.083333,9.76025
14.1,9.76143
14.116667,9.76243
14.133333,9.76435
14.15,9.76595
14.166667,9.76717
14.183333,9.76845
14.2,9.77064
14.216667,9.77241
14.233333,9.77183
14.25,9.77208
14.266667,9.77271
14.283333,9.77307
14.3,9.77289
14.316667,9.77222
14.333333,9.77123
14.35,9.77055
14.366667,9.77074
14.383333,9.77138
14.4,9.77176
14.416667,9.77202
14.433333,9.77218
14.45,9.77146
14.466667,9.77091
14.483333,9.7714
14.5,9.77251
14.516667,9.77406
14.533333,9.77691
14.55,9.77936
14.566667,9.78061
14.583333,9.7808
14.6,9.78016
14.616667,9.77951
14.633333,9.77999
14.65,9.78101
14.666667,9.7821
14.683333,9.78305
14.7,9.78331
14.716667,9.78275
14.733333,9.78194
14.75,9.78093
14.766667,9.77995
14.783333,9.77886
14.8,9.77757
14.816667,9.77617
14.833333,9.77501
14.85,9.77419
14.866667,9.77364
14.883333,9.77337
14.9,9.77367
14.916667,9.77425
14.933333,9.7747
14.95,9.77448
14.966667,9.77389
14.983333,9.77327
15,9.77298
15.016667,9.77277
15.033333,9.77258
15.05,9.77294
15.066667,9.77296
15.083333,9.77323
15.1,9.77416
15.116667,9.77673
15.133333,9.77812
15.15,9.7779
15.166667,9.77848
15.183333,9.7792
15.2,9.779
15.216667,9.77802
15.233333,9.77688
15.25,9.77656
15.266667,9.77808
15.283333,9.77866
15.3,9.77808
15.316667,9.77753
15.333333,9.77702
15.35,9.77685
15.366667,9.7768
15.383333,9.77644
15.4,9.77555
15.416667,9.77443
15.433333,9.77364
15.45,9.77375
15.466667,9.77461
15.483333,9.77549
15.5,9.77565
15.516667,9.77545
15.533333,9.7753
15.55,9.77546
15.566667,9.77604
15.583333,9.7766
15.6,9.77695
15.616667,9.77758
15.633333,9.77857
15.65,9.77917
15.666667,9.78015
15.683333,9.78087
15.7,9.77993
15.716667,9.78007
15.733333,9.78219
15.75,9.78359
15.766667,9.78435
15.783333,9.78379
15.8,9.78395
15.816667,9.78649
15.833333,9.78813
15.85,9.78869
15.866667,9.78901
15.883333,9.78925
15.9,9.78846
15.916667,9.78903
15.933333,9.79205
15.95,9.79285
15.966667,9.79002
15.983333,9.7874
16,9.78434
16.016667,9.77876
16.033333,9.77442
16.05,9.77462
16.066667,9.77062
16.083333,9.76351
16.1,9.75473
16.116667,9.74573
16.133333,9.73842
16.15,9.73175
16.166667,9.72457
16.183333,9.7212
16.2,9.71819
16.216667,9.71446
16.233333,9.71313
16.25,9.71381
16.266667,9.71567
16.283333,9.71608
16.3,9.71964
16.316667,9.72578
16.333333,9.73032
16.35,9.73347
16.366667,9.73593
16.383333,9.73722
16.4,9.73921
16.416667,9.74284
16.433333,9.7473
16.45,9.75141
16.466667,9.7548
16.483333,9.75752
16.5,9.7596
16.516667,9.76192
16.533333,9.76369
16.55,9.76562
